Cod.Cliente;Cliente;Grupo.Cliente;Cidade;Estado
101608;Miguel Bordin;Papelarias e Livrarias;Itapevi;São Paulo
101609;Thiego Seibert;Artistas Independentes;Irati;Paraná
101610;Rizomar Tochizawa;Artistas Independentes;Presidente Prudente;São Paulo
101611;Bruno Miney;ONG's;Presidente Prudente;São Paulo
101612;Arimar Amador;ONG's;Curitiba;Paraná
101613;Uallace Coutinho;Gráficas e Agências;Votuporanga;São Paulo
101614;Heliel Sante;Gráficas e Agências;Bandeirantes;Paraná
101615;Eloisio Aoyagui;Gráficas e Agências;Arapongas;Paraná
101616;Sueli Nonato;Artistas Independentes;Londrina;Paraná
101617;Galzerano Abdalla;Artistas Independentes;Maringá;Paraná
101618;Mayco Alencar;Artistas Independentes;Rolândia;Paraná
101619;Dilson Gabriela;Artistas Independentes;Quatiguá;Paraná
101620;Othon Gramonski;Gráficas e Agências;Irati;Paraná
101621;Denise Folly;Gráficas e Agências;Arapongas;Paraná
101622;Waldir Passos;Escritórios Corporativos;Londrina;Paraná
101623;Ilse Angelini;Escritórios Corporativos;Irati;Paraná
101624;Wylkynson Aoki;Escritórios Corporativos;Santo Antônio da Platina;Paraná
101625;Veverson Kyanne;Escritórios Corporativos;Curitiba;Paraná
101626;Agustinho Biazon;Escritórios Corporativos;Curitiba;Paraná
101627;Suyan Lefloch;Escritórios Corporativos;Engenheiro Beltrão;Paraná
101628;Cleo Camara;Escritórios Corporativos;Ibaiti;Paraná
101629;Rafaela Christofoletti;Escritórios Corporativos;Ibaiti;Paraná
101630;Evando Cargo;Escritórios Corporativos;Marialva;Paraná
101631;Allen Beaklini;Escritórios Corporativos;Maringá;Paraná
101632;Ricardo Vianna;Escritórios Corporativos;Sarandi;Paraná
101633;Priscila Muller;Escritórios Corporativos;Umuarama;Paraná
101634;Marcelo Francisco;Escritórios Corporativos;Umuarama;Paraná
101635;Aurelio Galindo;Escritórios Corporativos;Birigui;São Paulo
101636;Maisa Marcucci;Escritórios Corporativos;Nova Odessa;São Paulo
101637;Natan Perdigao;Escritórios Corporativos;Capivari;São Paulo
101638;Edvalson Deziderio;Escritórios Corporativos;Americana;São Paulo
101639;Tamires Galle;Escritórios Corporativos;Tupã;São Paulo
101640;Dirceu Ayres;Escritórios Corporativos;José Bonifácio;São Paulo
101641;Claudia Hammes;Escritórios Corporativos;Paraguaçu Paulista;São Paulo
101642;Marlise Moacyr;Escritórios Corporativos;José Bonifácio;São Paulo
101643;Lure Fracalossi;Escritórios Corporativos;Ourinhos;São Paulo
101644;Caue Tadeu;Escritórios Corporativos;Paraguaçu Paulista;São Paulo
101645;Lecir Padovani;Papelarias e Livrarias;Ibaiti;Paraná
101646;Amanda Pedroso;Papelarias e Livrarias;Santa Mariana;Paraná
101647;Diogo Scarabello;Papelarias e Livrarias;Engenheiro Beltrão;Paraná
101648;Remo Seabra;Papelarias e Livrarias;Almirante Tamandaré;Paraná
101649;Elaine F;Papelarias e Livrarias;Curitiba;Paraná
101650;Smilys Starling;Papelarias e Livrarias;Maringá;Paraná
101651;Flavio Americo;Papelarias e Livrarias;Paranaguá;Paraná
101652;Nereida Wenceslau;Papelarias e Livrarias;Paranaguá;Paraná
101653;Anibal Neris;Papelarias e Livrarias;Arapongas;Paraná
101654;Dirceu Otalara;Papelarias e Livrarias;Sarandi;Paraná
101655;Roosevelt Guedes;Papelarias e Livrarias;Rolândia;Paraná
101656;Dinez Girotto;Papelarias e Livrarias;Cambé;Paraná
101657;Wagner Bazem;Papelarias e Livrarias;Maringá;Paraná
101658;Fulvio Grecco;Papelarias e Livrarias;Paranaguá;Paraná
101659;Gilcimar Colognesi;Papelarias e Livrarias;Maringá;Paraná
101660;Enok Marvin;Papelarias e Livrarias;Arapongas;Paraná
101661;Mariane Cezar;Papelarias e Livrarias;Ribeirão Preto;São Paulo
101662;Grupo Madeira;Papelarias e Livrarias;Penápolis;São Paulo
101663;Nikolas Quinsan;Papelarias e Livrarias;Penápolis;São Paulo
101664;Maicon Raul;Papelarias e Livrarias;Garça;São Paulo
101665;Dhiego Alencar;Papelarias e Livrarias;Penápolis;São Paulo
101666;Kenji Jardini;Papelarias e Livrarias;Barretos;São Paulo
101667;Lincoln Gracia;Papelarias e Livrarias;São José do Rio Preto;São Paulo
101668;Emanuelli Yamada;Papelarias e Livrarias;Birigui;São Paulo
101669;Kellen Poluceno;Papelarias e Livrarias;Lins;São Paulo
101670;Wirllen Germano;Papelarias e Livrarias;Lins;São Paulo
101671;Fabiano Raymundo;Papelarias e Livrarias;Lins;São Paulo
101672;Pierre Aquino;Papelarias e Livrarias;Lins;São Paulo
101673;Eusebio Motta;Papelarias e Livrarias;Fernandópolis;São Paulo
101674;Janaina Crepaldi;Papelarias e Livrarias;José Bonifácio;São Paulo
101675;Thamara Ermel;Papelarias e Livrarias;Potirendaba;São Paulo
101676;Camilo Berkenbrock;Papelarias e Livrarias;Paraguaçu Paulista;São Paulo
101677;Eladio Paes;Papelarias e Livrarias;Nova Odessa;São Paulo
101678;Claudinei Madureira;Papelarias e Livrarias;Pardinho;São Paulo
101679;Dayrie Takano;Papelarias e Livrarias;Sabino;São Paulo
101680;Marisa Medrado;Papelarias e Livrarias;Santa Bárbara d'Oeste;São Paulo
101681;Mucio Gouvea;Papelarias e Livrarias;Pardinho;São Paulo
101682;Thauan Dore;Papelarias e Livrarias;Tupã;São Paulo
101683;Dante Tozoni;Papelarias e Livrarias;Americana;São Paulo
101684;Tatiara Donadio;Papelarias e Livrarias;Americana;São Paulo
101685;Michelli Moser;Papelarias e Livrarias;Ourinhos;São Paulo
101686;Jeziel Lourenco;Papelarias e Livrarias;Nova Odessa;São Paulo
101687;Alvaro Nicanor;Papelarias e Livrarias;Tupã;São Paulo
101688;Genezio Bartticiotto;Papelarias e Livrarias;Paraguaçu Paulista;São Paulo
101689;Slaviero Moser;Papelarias e Livrarias;Paraguaçu Paulista;São Paulo
101690;Tiago Dissenha;Papelarias e Livrarias;José Bonifácio;São Paulo
101691;Wallisson Nakamiti;Papelarias e Livrarias;São José do Rio Preto;São Paulo
101692;Getulio Apoitia;Papelarias e Livrarias;Fernandópolis;São Paulo
101693;Adriano Faustino;Escolas e Universidades;Taubaté;São Paulo
101694;Leandro Schiassi;Escolas e Universidades;Itaquaquecetuba;São Paulo
101695;Soeli Gavaldao;Escolas e Universidades;Capivari;São Paulo
101696;Amaro Steli;Escolas e Universidades;Campinas;São Paulo
101697;Arly Duarte;Escolas e Universidades;Ribeirão Preto;São Paulo
101698;Wallace Otavio;Escolas e Universidades;Nova Odessa;São Paulo
101699;Lourdes Paternolli;Escritórios Corporativos;Lins;São Paulo
101700;Festo Marcal;Escritórios Corporativos;Piracicaba;São Paulo
101701;Jobson Liibke;Escritórios Corporativos;Limeira;São Paulo
101702;Alessandra Penna;Escritórios Corporativos;Ribeirão Preto;São Paulo
101703;Francis Bertaglia;Papelarias e Livrarias;Marília;São Paulo
101704;Heliel Aluisio;Papelarias e Livrarias;Tupã;São Paulo
101705;Erick Pedruzzi;Escritórios Corporativos;Piracicaba;São Paulo
101706;Suyan Apolinario;Gráficas e Agências;Arapongas;Paraná
101707;Toshio Nascimento;Artistas Independentes;Santa Mariana;Paraná
101708;Delio Lage;Artistas Independentes;Bandeirantes;Paraná
101709;Paula Matos;Artistas Independentes;Cianorte;Paraná
101710;Genebaldo Carvalhedo;Artistas Independentes;Bandeirantes;Paraná
101711;Jonnis Vilar;Artistas Independentes;Rolândia;Paraná
101712;Paulo Sassiloto;Escolas e Universidades;Itaquaquecetuba;São Paulo
101713;Nara Romualdo;Gráficas e Agências;José Bonifácio;São Paulo
101714;Cicinato Gradizzi;Gráficas e Agências;Londrina;Paraná
101715;Jarbas Endo;Gráficas e Agências;Ibaiti;Paraná
101716;Pablo Bazem;Gráficas e Agências;Jacarezinho;Paraná
101717;Arianne Amaro;Gráficas e Agências;Jacarezinho;Paraná
101718;Mariana Kronbauer;Gráficas e Agências;Cambé;Paraná
101719;Gleice Madruga;Gráficas e Agências;Curitiba;Paraná
101720;Marcela Artur;Gráficas e Agências;Bandeirantes;Paraná
101721;Cibelle Lindebeck;Gráficas e Agências;Umuarama;Paraná
101722;Anselmo Meira;Gráficas e Agências;Umuarama;Paraná
101723;Maykon Farias;Escolas e Universidades;Engenheiro Beltrão;Paraná
101724;Washington Gironi;Escolas e Universidades;Maringá;Paraná
101725;Sibele Naves;Escolas e Universidades;Marialva;Paraná
101726;Augusto Valario;Artistas Independentes;Paiçandu;Paraná
101727;Giovani Damiao;Artistas Independentes;Paiçandu;Paraná
101728;Yan Gardel;Artistas Independentes;Engenheiro Beltrão;Paraná
101729;Rocicleudo Latta;Artistas Independentes;Paranaguá;Paraná
101730;Michely Renner;Gráficas e Agências;Almirante Tamandaré;Paraná
101731;Michele Colen;Gráficas e Agências;Marialva;Paraná
101732;Gerson Ramon;Gráficas e Agências;Maringá;Paraná
101733;Leomar Wenceslau;Escritórios Corporativos;São José dos Pinhais;Paraná
101734;Alan Endo;Escritórios Corporativos;Querência do Norte;Paraná
101735;Jussie Orti;Escritórios Corporativos;Telêmaco Borba;Paraná
101736;Eden Peixoto;Escritórios Corporativos;Curitiba;Paraná
101737;Manasses Lemos;Escritórios Corporativos;Arapongas;Paraná
101738;Bernard Luiz;Escritórios Corporativos;Umuarama;Paraná
101739;Suyan Cosmos;Escritórios Corporativos;Bandeirantes;Paraná
101740;Rafaella Motta;Escritórios Corporativos;Bandeirantes;Paraná
101741;Marcella Flor;Escritórios Corporativos;Jacarezinho;Paraná
101742;Gleison Starling;Escritórios Corporativos;Engenheiro Beltrão;Paraná
101743;Godofredo Roese;Escritórios Corporativos;Maringá;Paraná
101744;Arimar Gualberto;Escritórios Corporativos;Maringá;Paraná
101745;Denis Barbosa;Escritórios Corporativos;Hortolândia;São Paulo
101746;Jameson Vargem;Escritórios Corporativos;Paraguaçu Paulista;São Paulo
101747;Mauricio Weishapl;Escritórios Corporativos;Capivari;São Paulo
101748;Kyvia Wanderley;Escritórios Corporativos;Assis;São Paulo
101749;Gecilaine Murakami;Escritórios Corporativos;Capivari;São Paulo
101750;Nubia Marques;Escritórios Corporativos;São José do Rio Preto;São Paulo
101751;Dallas Festo;Escritórios Corporativos;São Bernardo do Campo;São Paulo
101752;Cairo Schuck;Escritórios Corporativos;Presidente Prudente;São Paulo
101753;Italo Tito;Escritórios Corporativos;Santa Bárbara d'Oeste;São Paulo
101754;Agenor O;Escritórios Corporativos;Capivari;São Paulo
101755;Goias Moreira;Escritórios Corporativos;Presidente Prudente;São Paulo
101756;Yuri Ludwig;Escritórios Corporativos;São José do Rio Preto;São Paulo
101757;Danilo Miyasato;Escritórios Corporativos;Taubaté;São Paulo
101758;Alison Socorro;Escritórios Corporativos;São José do Rio Preto;São Paulo
101759;Andrea Lima;Escritórios Corporativos;Ourinhos;São Paulo
101760;Alexsandro Lorenzo;Escritórios Corporativos;São Paulo;São Paulo
101761;Genezio Portal;Escritórios Corporativos;Hortolândia;São Paulo
101762;Olidio Mazali;Escritórios Corporativos;Lins;São Paulo
101763;Gady Zampieri;Escritórios Corporativos;Nhandeara;São Paulo
101764;Franco Gontijo;Escritórios Corporativos;Tanabi;São Paulo
101765;Deiglison Acras;Papelarias e Livrarias;Jacarezinho;Paraná
101766;Jonhnny Esgrignoli;Papelarias e Livrarias;Jacarezinho;Paraná
101767;Debora Aleixo;Papelarias e Livrarias;Jacarezinho;Paraná
101768;Giant Munhoz;Papelarias e Livrarias;Jacarezinho;Paraná
101769;Noemi Alcantara;Papelarias e Livrarias;Jacarezinho;Paraná
101770;Sandra Benevenuto;Papelarias e Livrarias;Bandeirantes;Paraná
101771;Gleisson Corazza;Papelarias e Livrarias;Bandeirantes;Paraná
101772;Aluizio Pascale;Papelarias e Livrarias;Bandeirantes;Paraná
101773;Vanessa Bortolotti;Papelarias e Livrarias;Arapongas;Paraná
101774;Eneias Sousa;Papelarias e Livrarias;Santa Mariana;Paraná
101775;Cristian Carlos;Papelarias e Livrarias;Bandeirantes;Paraná
101776;Luccas Bazem;Papelarias e Livrarias;Santa Mariana;Paraná
101777;Norman Assumpcao;Papelarias e Livrarias;Telêmaco Borba;Paraná
101778;Leomar Brito;Papelarias e Livrarias;Maringá;Paraná
101779;Edmar Cappello;Papelarias e Livrarias;Marialva;Paraná
101780;Cinara Gabriel;Papelarias e Livrarias;Jacarezinho;Paraná
101781;Douglas Sassiloto;Papelarias e Livrarias;Paranaguá;Paraná
101782;Edvalson Merij;Papelarias e Livrarias;Maringá;Paraná
101783;Sirlei Gois;Papelarias e Livrarias;Paranaguá;Paraná
101784;Jorge Feitosa;Papelarias e Livrarias;Paiçandu;Paraná
101785;Wagner Santanna;Papelarias e Livrarias;Presidente Prudente;São Paulo
101786;Tiago Rigoni;Papelarias e Livrarias;Piracicaba;São Paulo
101787;Luciane Pessoa;Papelarias e Livrarias;Capivari;São Paulo
101788;Darlan Bulhoes;Papelarias e Livrarias;Ourinhos;São Paulo
101789;Edval Alcantara;Papelarias e Livrarias;Monte Aprazível;São Paulo
101790;Alison Silvestre;Papelarias e Livrarias;Paraguaçu Paulista;São Paulo
101791;Everson Brandao;Papelarias e Livrarias;Santa Bárbara d'Oeste;São Paulo
101792;Icaro Shishido;Papelarias e Livrarias;Assis;São Paulo
101793;Valmir Gustavo;Papelarias e Livrarias;Ourinhos;São Paulo
101794;Walter Almada;Papelarias e Livrarias;Penápolis;São Paulo
101795;Thomas Tozoni;Papelarias e Livrarias;Ourinhos;São Paulo
101796;Leilane Campanha;Papelarias e Livrarias;Hortolândia;São Paulo
101797;Jobson Szkolny;Papelarias e Livrarias;Paraguaçu Paulista;São Paulo
101798;Arthur Stockler;Papelarias e Livrarias;Capivari;São Paulo
101799;Zainun Manson;Papelarias e Livrarias;Ourinhos;São Paulo
101800;Villi Faiad;Papelarias e Livrarias;Ribeirão Preto;São Paulo
101801;Fredson Melo;Papelarias e Livrarias;Ourinhos;São Paulo
101802;Veverson Fernandes;Papelarias e Livrarias;Ourinhos;São Paulo
101803;Adailton Jardini;Papelarias e Livrarias;Lins;São Paulo
101804;Carina Assin;Papelarias e Livrarias;Lins;São Paulo
101805;Hudson Bonella;Papelarias e Livrarias;José Bonifácio;São Paulo
101806;Camilla Dalton;Papelarias e Livrarias;Mirassol;São Paulo
101807;Samaris Valadas;Papelarias e Livrarias;Monte Aprazível;São Paulo
101808;Leya Nickel;Papelarias e Livrarias;Mirassol;São Paulo
101809;Andriel Empreendimentos;Papelarias e Livrarias;São José do Rio Preto;São Paulo
101810;Italo Porcino;Papelarias e Livrarias;Tanabi;São Paulo
101811;Rosilene Secato;Escolas e Universidades;Jales;São Paulo
101812;Alvimar Assanome;Escolas e Universidades;Tupã;São Paulo
101813;Thamires Dill;Escritórios Corporativos;Piracicaba;São Paulo
101814;Roberto Domingues;Escritórios Corporativos;Sorocaba;São Paulo
101815;Giulio Aparecido;Escritórios Corporativos;Sorocaba;São Paulo
101816;Marciely Ogassawara;Escritórios Corporativos;Serra Negra;São Paulo
101817;Nilton Wanderson;Escritórios Corporativos;Itaquaquecetuba;São Paulo
101818;Agustinho Tadeu;Escritórios Corporativos;Piracicaba;São Paulo
101819;Liria Esquetini;Escritórios Corporativos;Campinas;São Paulo
101820;Nikolas Dorta;Escritórios Corporativos;Jales;São Paulo
101821;Luciano Brand;Artistas Independentes;Votuporanga;São Paulo
101822;Iva Tozoni;Gráficas e Agências;Quatiguá;Paraná
101823;Taina Ludwig;Gráficas e Agências;Sarandi;Paraná
101824;Almir Mourao;Gráficas e Agências;Sarandi;Paraná
101825;Walter O;Escolas e Universidades;Maringá;Paraná
101826;Nayara Denizart;Escolas e Universidades;Maringá;Paraná
101827;Marisa Akemi;Artistas Independentes;Cianorte;Paraná
101828;Noemi Batista;Gráficas e Agências;Maringá;Paraná
101829;Itaelcio Bazzucco;Gráficas e Agências;Maringá;Paraná
101830;Mara Lana;Gráficas e Agências;Marialva;Paraná
101831;Leidiano Guadagnin;Gráficas e Agências;Cianorte;Paraná
101832;Hildernandio Arcari;Gráficas e Agências;Cianorte;Paraná
101833;Gediel Estrela;Gráficas e Agências;Cianorte;Paraná
101834;Jaumir Deus;Escritórios Corporativos;Curitiba;Paraná
101835;Mauro Celente;Escritórios Corporativos;Curitiba;Paraná
101836;Tarciso Almada;Escritórios Corporativos;Arapongas;Paraná
101837;Carvalho Jardim;Escritórios Corporativos;Cascavel;Paraná
101838;Celio Piechontcoski;Escritórios Corporativos;Cascavel;Paraná
101839;Haryson Taveira;Escritórios Corporativos;Cascavel;Paraná
101840;Yuri Devi;Escritórios Corporativos;Almirante Tamandaré;Paraná
101841;Catia Sillas;Escritórios Corporativos;Castilho;São Paulo
101842;Marcela Apoitia;Escritórios Corporativos;Guaraçaí;São Paulo
101843;Susana Vianna;Escritórios Corporativos;Fernandópolis;São Paulo
101844;Elton Barreto;Escritórios Corporativos;Piracicaba;São Paulo
101845;Aleson Tereza;Escritórios Corporativos;Birigui;São Paulo
101846;Zainun Gustavo;Escritórios Corporativos;Indaiatuba;São Paulo
101847;Aron Leite;Escritórios Corporativos;Araçatuba;São Paulo
101848;Kledison Henninger;Escritórios Corporativos;Indaiatuba;São Paulo
101849;Amaro Vargas;Papelarias e Livrarias;Cambé;Paraná
101850;Eliene Bonifacio;Papelarias e Livrarias;Cambé;Paraná
101851;Marcio Hamacek;Papelarias e Livrarias;Curitiba;Paraná
101852;Deusliberio Apoitia;Papelarias e Livrarias;São José dos Pinhais;Paraná
101853;Wylkynson Cayres;Papelarias e Livrarias;Curitiba;Paraná
101854;Dallas Stephens;Papelarias e Livrarias;Almirante Tamandaré;Paraná
101855;Adrielle Mellegari;Papelarias e Livrarias;Cascavel;Paraná
101856;Simone Massami;Papelarias e Livrarias;Arapongas;Paraná
101857;Enok Pessato;Papelarias e Livrarias;Maringá;Paraná
101858;Reginaldo Lee;Papelarias e Livrarias;Capivari;São Paulo
101859;Valeria Marcelletti;Papelarias e Livrarias;Guaraçaí;São Paulo
101860;Silmara Piccin;Papelarias e Livrarias;Macaubal;São Paulo
101861;Angelo Valdeque;Papelarias e Livrarias;Buritama;São Paulo
101862;Camilo Passos;Papelarias e Livrarias;São Bernardo do Campo;São Paulo
101863;Elisangela Rossoni;Papelarias e Livrarias;Garça;São Paulo
101864;Danillo Quintao;Papelarias e Livrarias;Penápolis;São Paulo
101865;Neyeustaquio Wanderley;Papelarias e Livrarias;Tanabi;São Paulo
101866;Rander Rubio;Papelarias e Livrarias;Buritama;São Paulo
101867;Jocimar Hirotaka;Papelarias e Livrarias;Birigui;São Paulo
101868;Leya Farah;Papelarias e Livrarias;Tanabi;São Paulo
101869;Thamires Piran;Papelarias e Livrarias;Castilho;São Paulo
101870;Robelio Veloso;Papelarias e Livrarias;Piracicaba;São Paulo
101871;Dumont Corazza;Papelarias e Livrarias;Lins;São Paulo
101872;Ailton Baltieri;Papelarias e Livrarias;Santa Cruz do Rio Pardo;São Paulo
101873;Waldson Raymundo;Papelarias e Livrarias;Ourinhos;São Paulo
101874;Roselane Leite;Papelarias e Livrarias;Assis;São Paulo
101875;Ronaldo Junio;Papelarias e Livrarias;Ourinhos;São Paulo
101876;Joelson Yamada;Papelarias e Livrarias;Araçatuba;São Paulo
101877;Vivian Marchiori;Papelarias e Livrarias;Adamantina;São Paulo
101878;Barbara Baptista;Papelarias e Livrarias;Araçatuba;São Paulo
101879;Max Moreno;Papelarias e Livrarias;Araçatuba;São Paulo
101880;Ivanildo Gracco;Papelarias e Livrarias;Lins;São Paulo
101881;Pedro Donizete;Papelarias e Livrarias;Adamantina;São Paulo
101882;Festo Barbuglio;Papelarias e Livrarias;Dracena;São Paulo
101883;Haryson Baldin;Papelarias e Livrarias;Tupã;São Paulo
101884;Davidson Carvalho;Papelarias e Livrarias;Dracena;São Paulo
101885;Gabriel Carvalheira;Papelarias e Livrarias;Irapuru;São Paulo
101886;Jamille Veroneze;Papelarias e Livrarias;Ourinhos;São Paulo
101887;Jader Lulli;Papelarias e Livrarias;Penápolis;São Paulo
101888;Zudivan Cavalcanti;Escolas e Universidades;Valinhos;São Paulo
101889;Pablo Firminio;Escolas e Universidades;Valinhos;São Paulo
101890;Kaiki Lino;Escolas e Universidades;Valinhos;São Paulo
101891;Paula Marcal;Escolas e Universidades;Valinhos;São Paulo
101892;Reinaldo Mateus;Escolas e Universidades;Jales;São Paulo
101893;Kelly Caio;Escolas e Universidades;Jales;São Paulo
101894;Jameson Delfino;Escolas e Universidades;Maringá;Paraná
101895;Ariel Donadio;Escolas e Universidades;Arapongas;Paraná
101896;Edilson Chalon;Escolas e Universidades;Cambé;Paraná
101897;Grazianno Merlin;Escritórios Corporativos;Valinhos;São Paulo
101898;Jose Manuel;Gráficas e Agências;Bandeirantes;Paraná
101899;Robelio Izaque;Gráficas e Agências;Piracicaba;São Paulo
101900;Vilma Marins;Artistas Independentes;Telêmaco Borba;Paraná
101901;Thamyres Francis;Artistas Independentes;Londrina;Paraná
101902;Elioenai Franzen;Artistas Independentes;Querência do Norte;Paraná
101903;Adalfran Portes;Artistas Independentes;Paiçandu;Paraná
101904;Ellen Geraldo;Artistas Independentes;Santa Mariana;Paraná
101905;Calil Takano;Artistas Independentes;Curitiba;Paraná
101906;Juliard Bizzo;Escolas e Universidades;Indaiatuba;São Paulo
101907;Daniele Balian;Escolas e Universidades;Indaiatuba;São Paulo
101908;Jeniffer Inacio;Gráficas e Agências;Cianorte;Paraná
101909;Mayron Bazzucco;Gráficas e Agências;Londrina;Paraná
101910;Wilmar Irineu;Gráficas e Agências;Londrina;Paraná
101911;Mayke Cervera;Gráficas e Agências;Londrina;Paraná
101912;Marta Saldanha;Gráficas e Agências;Londrina;Paraná
101913;Angelita Leoncio;Gráficas e Agências;Cambé;Paraná
101914;Giselle Soares;Gráficas e Agências;Ibaiti;Paraná
101915;Davyson Hofstatter;Gráficas e Agências;Cambé;Paraná
101916;Galzerano Chagas;Artistas Independentes;Telêmaco Borba;Paraná
101917;Sarah Campanha;Gráficas e Agências;Cianorte;Paraná
101918;Almir Tanaka;Gráficas e Agências;Cianorte;Paraná
101919;Dumont Staviasz;Gráficas e Agências;Maringá;Paraná
101920;Elizabeth Arcari;Gráficas e Agências;Arapongas;Paraná
101921;Uallace Bazzucco;Gráficas e Agências;Maringá;Paraná
101922;Emily Rojas;Gráficas e Agências;Maringá;Paraná
101923;Caue Bordin;Escritórios Corporativos;São José dos Pinhais;Paraná
101924;Wellinton Arruda;Escritórios Corporativos;Santo Antônio da Platina;Paraná
101925;Wallace Otalara;Escritórios Corporativos;Londrina;Paraná
101926;Gloria Maia;Escritórios Corporativos;Bandeirantes;Paraná
101927;Jeicy Schuster;Escritórios Corporativos;Almirante Tamandaré;Paraná
101928;Denilson Hugo;Escritórios Corporativos;Querência do Norte;Paraná
101929;Gilvan Ragassi;Escritórios Corporativos;Curitiba;Paraná
101930;Edmilson Maeda;Escritórios Corporativos;Santo Antônio da Platina;Paraná
101931;Angelica Rossana;Escritórios Corporativos;Santo Antônio da Platina;Paraná
101932;Aluisio Morais;Escritórios Corporativos;Maringá;Paraná
101933;Raphaella Rolfini;Escritórios Corporativos;Cianorte;Paraná
101934;Andriel Menezes;Escritórios Corporativos;Maringá;Paraná
101935;Eliseu Candido;Escritórios Corporativos;Cianorte;Paraná
101936;Adao Sobrinho;Escritórios Corporativos;Cianorte;Paraná
101937;Nereida Antunes;Escritórios Corporativos;Cianorte;Paraná
101938;Mariza Zampieri;Escritórios Corporativos;Pirapozinho;São Paulo
101939;Pollyana Salemi;Escritórios Corporativos;Marília;São Paulo
101940;Maximiano Custodio;Escritórios Corporativos;Pirapozinho;São Paulo
101941;Allyson Yui;Escritórios Corporativos;Marília;São Paulo
101942;Mariah Guilhermino;Papelarias e Livrarias;Joaquim Távora;Paraná
101943;Joel Deus;Papelarias e Livrarias;Cascavel;Paraná
101944;Alan Angelo;Papelarias e Livrarias;Santa Mariana;Paraná
101945;Wladmir Ricieri;Papelarias e Livrarias;Paranaguá;Paraná
101946;Gilcimar Andrew;Papelarias e Livrarias;Santo Antônio da Platina;Paraná
101947;Kevin Querino;Papelarias e Livrarias;Maringá;Paraná
101948;Elioenai Clerolayne;Papelarias e Livrarias;Maringá;Paraná
101949;Gleice Bollorini;Papelarias e Livrarias;Maringá;Paraná
101950;Herbet Firme;Papelarias e Livrarias;Maringá;Paraná
101951;David Mehl;Papelarias e Livrarias;Curitiba;Paraná
101952;Rosamara Deziderio;Papelarias e Livrarias;Curitiba;Paraná
